ALFONSO LOPEZ,La Soledad,Chapinero
ARMENIA,La Soledad,Chapinero
BANCO CENTRAL,Chapinero Tradicional,Chapinero
BANCO CENTRAL,La Soledad,Chapinero
BELALCAZAR,Chapinero Tradicional,Chapinero
BELALCAZAR,La Soledad,Chapinero
BELLAVISTA,Z_AZUL,Chapinero
BOSQUE CALDERON,Z_NARANJA,Chapinero
CAMPIN,Chapinero Tradicional,Chapinero
CATALUNA,Chapinero Alto,Chapinero
CHAPINERO CENTRAL,Chapinero Alto,Chapinero
CHAPINERO NORTE,Z_NARANJA,Chapinero
CHAPINERO OCCIDENTAL,Chapinero Tradicional,Chapinero
EMAUS,Z_AZUL,Chapinero
ESTRELLA,La Soledad,Chapinero
GALERIAS,La Soledad,Chapinero
GRANADA,Z_NARANJA,Chapinero
INGEMAR,Z_NARANJA,Chapinero
INGEMAR ORIENTAL,Z_NARANJA,Chapinero
LA ESPERANZA,Chapinero Tradicional,Chapinero
LA MAGDALENA,La Soledad,Chapinero
LA SALLE,Z_NARANJA,Chapinero
LA SOLEDAD,La Soledad,Chapinero
LAS ACACIAS,Z_AZUL,Chapinero
LAS AMERICAS,La Soledad,Chapinero
LOS ROSALES,Z_AZUL,Chapinero
MARIA CRISTINA,Z_NARANJA,Chapinero
MARLY,Chapinero Alto,Chapinero
PALERMO,La Soledad,Chapinero
PARDO RUBIO,Z_NARANJA,Chapinero
PARQUE NACIONAL,Chapinero Alto,Chapinero
QUESADA,La Soledad,Chapinero
QUINTA CAMACHO,Chapinero Alto,Chapinero
SAGRADO CORAZON,Chapinero Alto,Chapinero
SAN LUIS,Chapinero Tradicional,Chapinero
SANTA TERESITA,La Soledad,Chapinero
SIBERIA CENTRAL,Chapinero Alto,Chapinero
SIETE DE AGOSTO,Chapinero Tradicional,Chapinero
SUCRE,Chapinero Alto,Chapinero
TEUSAQUILLO,La Soledad,Chapinero
ALMIRANTE COLON,Suba y alrededores,Noroccidente
ALTOS DE CHOZICA,Suba y alrededores,Noroccidente
ANDES NORTE,corregir,Noroccidente
ATENAS,Colina y alrededores,Noroccidente
AUTOPISTA MEDELLIN,Cortijo y Calle 80,Noroccidente
BATAN,corregir,Noroccidente
BILBAO,Suba y alrededores,Noroccidente
BOCHICA,Cortijo y Calle 80,Noroccidente
BOCHICA II,corregir,Noroccidente
BOLIVIA,Cortijo y Calle 80,Noroccidente
BOLIVIA ORIENTAL,Cortijo y Calle 80,Noroccidente
BOSQUES DE SAN JORGE,Suba y alrededores,Noroccidente
BRITALIA,Colina y alrededores,Noroccidente
BULEVAR NIZA,Colina y alrededores,Noroccidente
CAMPANELLA,Suba y alrededores,Noroccidente
CANODROMO,Colina y alrededores,Noroccidente
CANTAGALLO,Colina y alrededores,Noroccidente
CANTALEJO,Colina y alrededores,Noroccidente
CASABLANCA SUBA,Suba y alrededores,Noroccidente
CASA BLANCA SUBA,Suba y alrededores,Noroccidente
CASABLANCA SUBA,Colina y alrededores,Noroccidente
CIUDAD BACHUE I ETAPA,Cortijo y Calle 80,Noroccidente
CIUDAD HUNZA,Suba y alrededores,Noroccidente
CIUDAD JARDIN NORTE,Colina y alrededores,Noroccidente
CIUDADELA COLSUBSIDIO,Cortijo y Calle 80,Noroccidente
COSTA AZUL,Suba y alrededores,Noroccidente
EL CORTIJO,Cortijo y Calle 80,Noroccidente
EL MINUTO DE DIOS,Cortijo y Calle 80,Noroccidente
EL PINO,Suba y alrededores,Noroccidente
EL PLAN,Colina y alrededores,Noroccidente
EL POA,Suba y alrededores,Noroccidente
ENTRERIOS,corregir,Noroccidente
ESCUELA DE CARABINEROS,Colina y alrededores,Noroccidente
ESTORIL,corregir,Noroccidente
GILMAR,Colina y alrededores,Noroccidente
GRANADA NORTE,Colina y alrededores,Noroccidente
IBERIA,Colina y alrededores,Noroccidente
JULIO FLOREZ,corregir,Noroccidente
LA CASTELLANA,corregir,Noroccidente
LA CHUCUA,Suba y alrededores,Noroccidente
LA PATRIA,corregir,Noroccidente
LA SERENA,Cortijo y Calle 80,Noroccidente
LAS FLORES,Suba y alrededores,Noroccidente
LAS VILLAS,Colina y alrededores,Noroccidente
LOMBARDIA,Suba y alrededores,Noroccidente
LOS ANDES,corregir,Noroccidente
LOS CEREZOS,Cortijo y Calle 80,Noroccidente
LOS NARANJOS,Suba y alrededores,Noroccidente
MAZUREN,Colina y alrededores,Noroccidente
MIRANDELA,Calle 170 y alrededores,Noroccidente
MONACO,corregir,Noroccidente
NIZA NORTE,Colina y alrededores,Noroccidente
NIZA SUBA,Suba y alrededores,Noroccidente
NIZA SUR,corregir,Noroccidente
NUEVA TIBABUYES,Suba y alrededores,Noroccidente
NUEVA ZELANDIA,Calle 170 y alrededores,Noroccidente
PARIS GAITAN,Cortijo y Calle 80,Noroccidente
PASADENA,corregir,Noroccidente
PINOS DE LOMBARDIA,Suba y alrededores,Noroccidente
POLO CLUB,corregir,Noroccidente
PONTEVEDRA,corregir,Noroccidente
PORTALES DEL NORTE,Colina y alrededores,Noroccidente
POTOSI,corregir,Noroccidente
PRADO PINZON,Colina y alrededores,Noroccidente
PRADO VERANIEGO,Colina y alrededores,Noroccidente
PRADO VERANIEGO NORTE,Colina y alrededores,Noroccidente
PRADO VERANIEGO SUR,Colina y alrededores,Noroccidente
PRIMAVERA,Cortijo y Calle 80,Noroccidente
PUENTE LARGO,corregir,Noroccidente
PUERTA DEL SOL,Suba y alrededores,Noroccidente
QUIRIGUA,Cortijo y Calle 80,Noroccidente
RIONEGRO,corregir,Noroccidente
SABANA DE TIBABUYES,Suba y alrededores,Noroccidente
SALITRE SUBA,Suba y alrededores,Noroccidente
SAN JOSE DE BAVARIA,Calle 170 y alrededores,Noroccidente
SAN JOSE DEL PRADO,Colina y alrededores,Noroccidente
SANTA HELENA,Colina y alrededores,Noroccidente
SANTA ROSA,corregir,Noroccidente
SUBA URBANO,Suba y alrededores,Noroccidente
TIBABUYES,Suba y alrededores,Noroccidente
TIBABUYES UNIVERSAL,Suba y alrededores,Noroccidente
TUNA ALTA,Suba y alrededores,Noroccidente
TUNA BAJA,Suba y alrededores,Noroccidente
VACIO,Suba y alrededores,Noroccidente
VEREDA SUBA CERROS,Suba y alrededores,Noroccidente
VICTORIA NORTE,Colina y alrededores,Noroccidente
VILLA DEL PRADO,Calle 170 y alrededores,Noroccidente
VILLA ELISA,Suba y alrededores,Noroccidente
VILLA MARIA,Suba y alrededores,Noroccidente
ACACIAS USAQUEN,Cedritos,Norte
ANTIGUO COUNTRY,Z_AZUL,Norte
BAGAZAL,Chico,Norte
BARRANCAS,Cedritos,Norte
BARRANCAS NORTE,Cedritos,Norte
BELLA SUIZA,Country,Norte
BELLAVISTA,Z_AZUL,Norte
BELMIRA,Cedritos,Norte
BOSQUE DE PINOS,Orquideas,Norte
BOSQUE DE PINOS I,Z_AZUL,Norte
BOSQUE DE PINOS I,Country,Norte
BOSQUE DE PINOS III,Cedritos,Norte
CAOBOS SALAZAR,Cedritos,Norte
CEDRITOS,Cedritos,Norte
CEDRITOS,Country,Norte
CEDRO BOLIVAR,Cedritos,Norte
CEDRO GOLF,Cedritos,Norte
CEDRO NARVAEZ,Cedritos,Norte
CEDRO SALAZAR,Cedritos,Norte
CERROS DE SANTA BARBARA,Santa Barbara,Norte
CHICO NORTE,Z_AZUL,Norte
CHICO NORTE I SECTOR,Chico,Norte
CHICO NORTE II SECTOR,Z_AZUL,Norte
CHICO NORTE III SECTOR,Z_AZUL,Norte
CHICO NORTE III,Z_AZUL,Norte
CIUDADELA REAL,Cedritos,Norte
COUNTRY CLUB,Country,Norte
EL CEREZO,Orquideas,Norte
EL CHICO,Z_AZUL,Norte
EL CONTADOR,Cedritos,Norte
EL CONTADOR,Country,Norte
EL NOGAL,Z_AZUL,Norte
EL PORTAL,Santa Barbara,Norte
EL REDIL,Orquideas,Norte
EL REFUGIO,Z_AZUL,Norte
EL RETIRO,Z_AZUL,Norte
EL ROCIO NORTE,Orquideas,Norte
EL TOBERIN,Orquideas,Norte
EL VERVENAL,Orquideas,Norte
EL VIRREY,Chico,Norte
ESCUELA DE INFANTERIA,Santa Barbara,Norte
ESPARTILLAL,Chico,Norte
ESTRELLA DEL NORTE,Cedritos,Norte
GINEBRA,Z_AMARILLA,Norte
HORIZONTES NORTE,Orquideas,Norte
LA CABRERA,Z_AZUL,Norte
LA CALLEJA,Z_AMARILLA,Norte
LA CAROLINA,Z_AMARILLA,Norte
LA CITA,Orquideas,Norte
LA GRANJA NORTE,Orquideas,Norte
LA LIBERIA,Cedritos,Norte
LA PRADERA NORTE,Orquideas,Norte
LA URIBE,Orquideas,Norte
LAGO GAITAN,Chico,Norte
LAS ACACIAS,Chico,Norte
LAS MARGARITAS,Cedritos,Norte
LAS ORQUIDEAS,Orquideas,Norte
LISBOA,Country,Norte
LOS CEDROS,Cedritos,Norte
LOS CEDROS,Country,Norte
LOS CEDROS ORIENTAL,Cedritos,Norte
LOS ROSALES,Chico,Norte
MOLINOS NORTE,Z_AMARILLA,Norte
PARAMO,Santa Barbara,Norte
PORCIUNCULA,Chico,Norte
LA PORCIUNCULA,Chico,Norte
RINCON DEL CHICO,Z_AMARILLA,Norte
SAN ANTONIO NOROCCIDENTAL,Orquideas,Norte
SAN ANTONIO NORTE,Orquideas,Norte
SAN CRISTOBAL NORTE,Orquideas,Norte
SAN GABRIEL NORTE,Z_AMARILLA,Norte
SAN ISIDRO,Chico,Norte
SAN JOSE DE USAQUEN,Orquideas,Norte
SAN PATRICIO,Z_AMARILLA,Norte
SANTA ANA,Santa Barbara,Norte
SANTA ANA OCCIDENTAL,Santa Barbara,Norte
SANTA ANA ORIENTAL,Santa Barbara,Norte
SANTA BARBARA CENTRAL,Z_AMARILLA,Norte
SANTA BARBARA OCCIDENTAL,Z_AMARILLA,Norte
SANTA BARBARA ORIENTAL,Z_AMARILLA,Norte
SANTA BIBIANA,Z_AMARILLA,Norte
SANTA PAULA,corregir,Norte
SANTA TERESA,Orquideas,Norte
SEMINARIO,Z_AZUL,Norte
SIERRA DEL MORAL,Cedritos,Norte
URBANIZACION BOSQUES DE MEDINA,Cedritos,Norte
TIBABITA,Orquideas,Norte
USAQUEN,Santa Barbara,Norte
VERBENAL SAN ANTONIO,Orquideas,Norte
ACEVEDO TEJADA,Centro Nariño y Quinta Paredes,Occidente
BAVARIA,Castilla y Marsella,Occidente
CAPELLANIA,Salitre y Modelia,Occidente
LA ESPERANZA NORTE,Salitre y Modelia,Occidente
CASTILLA,Castilla y Marsella,Occidente
CENTRO NARINO,Centro Nariño y Quinta Paredes,Occidente
EL RECUERDO,Centro Nariño y Quinta Paredes,Occidente
GRAN AMERICA,Centro Nariño y Quinta Paredes,Occidente
LAS DOS AVENIDAS,Castilla y Marsella,Occidente
LUSITANIA,Castilla y Marsella,Occidente
MARSELLA,Castilla y Marsella,Occidente
NUEVO TECHO,Castilla y Marsella,Occidente
ORTEZAL,Centro Nariño y Quinta Paredes,Occidente
OSORIO,Castilla y Marsella,Occidente
PIO XII,Castilla y Marsella,Occidente
QUINTA PAREDES,Centro Nariño y Quinta Paredes,Occidente
VERGEL OCCIDENTAL,Castilla y Marsella,Occidente
VILLA ALSACIA,Castilla y Marsella,Occidente
